"url_pattern"
"regex((^|.*\.)10001downloads\.com)"
"regex((^|.*\.)1000loansuk\.co\.uk)"
"regex((^|.*\/|.*.)100dayloans\.co\.uk(^|.*))"
"regex((^|.*\.)109\.120\.143\.108)"
"regex((^|.*\.)109\.120\.157\.60)"
"regex((^|.*\.)109\.196\.134\.35)"
"regex((^|.*\.)109\.196\.143\.79)"
"regex((^|.*\.)113\.105\.152\.19)"
"regex((^|.*\.)113\.11\.194\.190)"
"regex((^|.*\.)116\.231\.104\.99)"
"regex((^|.*\.)122\.155\.1\.200)"
"regex((^|.*\.)122\.224\.4\.110)"
"regex((^|.*\.)122\.225\.37\.10)"
"regex((^|.*\.)122\.225\.38\.32)"
"regex((^|.*\.)123\.30\.129\.249)"
"regex((^|.*\.)125\.68\.57\.154)"
"regex((^|.*\.)12monthloanss\.co\.uk)"
"regex((^|.*\.)12monthloanstoday\.co\.uk)"
"regex((^|.*\.)12monthloanstoloans\.co\.uk)"
"regex((^|.*\.)12monthpaydayloansuk\.co\.uk)"
"regex((^|.*\.)1-2times\.com)"
"regex((^|.*\.)173\.11\.39\.209)"
"regex((^|.*\.)173\.208\.154\.30)"
"regex((^|.*\.)184\.154\.35\.165)"
"regex((^|.*\.)188\.165\.132\.68)"
"regex((^|.*\.)188\.212\.110\.12)"
"regex((^|.*\.)189\.75\.118\.154)"
"regex((^|.*\.)193\.104\.12\.125)"
"regex((^|.*\.)193\.104\.146\.96)"
"regex((^|.*\.)193\.105\.207\.130)"
"regex((^|.*\.)193\.178\.172\.20)"
"regex((^|.*\.)193\.178\.172\.38)"
"regex((^|.*\.)193\.186\.9\.42)"
"regex((^|.*\.)193\.186\.9\.76)"
"regex((^|.*\.)193\.186\.9\.81)"
"regex((^|.*\.)193\.186\.9\.94)"
"regex((^|.*\.)193\.201\.192\.44)"
"regex((^|.*\.)193\.27\.232\.51)"
"regex((^|.*\.)193\.27\.232\.57)"
"regex((^|.*\.)193\.43\.134\.58)"
"regex((^|.*\.)194\.0\.245\.71)"
"regex((^|.*\.)194\.1\.220\.47)"
"regex((^|.*\.)194\.225\.184\.20)"
"regex((^|.*\.)194\.63\.144\.100)"
"regex((^|.*\.)194\.63\.144\.143)"
"regex((^|.*\.)194\.63\.144\.48)"
"regex((^|.*\.)194\.63\.144\.56)"
"regex((^|.*\.)194\.79\.250\.45)"
"regex((^|.*\.)194\.79\.250\.78)"
"regex((^|.*\.)194\.88\.11\.48)"
"regex((^|.*\.)195\.206\.246\.246)"
"regex((^|.*\.)195\.206\.246\.251)"
"regex((^|.*\.)195\.226\.220\.55)"
"regex((^|.*\.)195\.5\.161\.188)"
"regex((^|.*\.)195\.56\.45\.249)"
"regex((^|.*\.)195\.64\.184\.28)"
"regex((^|.*\.)195\.64\.185\.123)"
"regex((^|.*\.)195\.80\.151\.162)"
"regex((^|.*\.)195\.80\.151\.163)"
"regex((^|.*\.)195\.80\.151\.91)"
"regex((^|.*\.)195\.93\.180\.252)"
"regex((^|.*\.)195\.93\.218\.28)"
"regex((^|.*\.)1choicebb\.com)"
"regex((^|.*\.)1hourmoney\.co\.uk)"
"regex((^|.*\.)1ondon2012\.com)"
"regex((^|.*\.)1sense\.info)"
"regex((^|.*\.)1stpaydayloan\.co\.uk)"
"regex((^|.*\.)1ststop\.co\.uk)"
"regex((^|.*\.)200\.195\.192\.45)"
"regex((^|.*\.)200\.72\.1\.94)"
"regex((^|.*\.)201\.140\.57\.249)"
"regex((^|.*\.)207\.45\.186\.18)"
"regex((^|.*\.)209\.119\.117\.138)"
"regex((^|.*\.)209\.200\.228\.43)"
"regex((^|.*\.)209\.59\.221\.58)"
"regex((^|.*\.)211\.115\.68\.250)"
"regex((^|.*\.)212\.103\.194\.188)"
"regex((^|.*\.)213\.246\.42\.87)"
