"category"
"Alcohol"
"Anonymizers"
"Anonymizing Utilities"
"Browser Exploits"
"Discrimination"
"Drugs"
"Extreme"
"Game / Cartoon Violence"
"Gruesome Content"
"Historical Revisionism"
"Illegal UK"
"Malicious Downloads"
"Malicious Sites"
"Nudity"
"P2P / File Sharing"
"Phishing"
"Pornography"
"Potential Criminal Activities"
"Potential Hacking / Computer Crime"
"Potential Illegal Software"
"Profanity"
"PUPs"
"Residential IP Addresses"
"School Cheating Info"
"Sexual Materials"
"Spam URLs"
"Spyware / Adware / Keyloggers"
"Tobacco"
"Violence"
"Weapons"
